source_id,max_auc,median_auc,n_auc,broad,targeted,cu,kind,max_panel_size,explicit_big_panel,breadth
2026_diagnostic_performance_of_plasma_gfap_in_preclinical_stages.pdf,0.79,0.73,2,False,True,True,fulltext,,False,targeted
2026_discoverydriven_plasma_proteomics_identifies_a_multiprotein_signature_for.pdf,0.95,0.79,8,True,False,True,fulltext,31.0,True,broad
2026_elecsys_ptau217_plasma_immunoassay_detection_of_amyloid_pathology.pdf,0.907,0.8805000000000001,6,True,True,True,fulltext,,False,broad
2026_incremental_value_of_plasma_biomarkers_in_predicting_clinical.pdf,0.8,0.79,2,False,True,True,fulltext,,False,targeted
2026_olfactory_radiomics_signatures_link_ptau217_to_cognitive_impairment.pdf,0.863,0.86,8,False,True,True,fulltext,,False,targeted
2026_plasma_phosphorylated_tau_217_detects_amyloid_in_neuronal.pdf,0.98,0.94,3,False,True,True,fulltext,,False,targeted
2026_plasma_proteomic_signatures_of_preclinical_alzheimers_disease_in.pdf,0.94,0.863,12,True,True,True,fulltext,,False,broad
2026_plasma_ptau_217amyloid_142_ratio_for_enhanced_accuracy.pdf,0.88,0.88,1,True,True,True,fulltext,,False,broad
2026_prospective_study_on_clinical_utility_of_plasma_ptau217.pdf,0.93,0.92,7,True,True,True,fulltext,,False,broad
2026_realworld_diagnostic_performance_of_bloodbased_biomarkers_for_alzheimers.pdf,0.74,0.6950000000000001,2,False,True,True,fulltext,,False,targeted
2026_the_association_between_apoe_4_carrierships_and_the.pdf,0.8,0.8,1,False,True,True,fulltext,,False,targeted
